iter	Passed	Remaining
0	874	3496935
1	1686	3371768
2	2589	3450299
3	3486	3483032
4	4235	3384175
5	5143	3423530
6	5964	3402134
7	6816	3401680
8	7603	3371657
9	8465	3377764
10	9284	3366786
11	9999	3323233
12	10843	3325528
13	11776	3352879
14	12434	3303374
15	13627	3393366
16	14788	3464795
17	15761	3486833
18	16563	3470554
19	17435	3469643
20	18322	3471629
21	19136	3460194
22	20548	3553163
23	21481	3558731
24	22228	3534387
25	22955	3508696
26	23987	3529710
27	25026	3550132
28	26094	3573145
29	27333	3617069
30	28259	3618188
31	29107	3609341
32	30131	3622140
33	30885	3602667
34	31755	3597448
35	32756	3606803
36	33820	3622462
37	34670	3614862
38	35586	3614275
39	36371	3600731
40	37356	3607150
41	38401	3618926
42	38993	3588268
43	39857	3583509
44	40667	3574206
45	41424	3560674
46	42100	3540889
47	42953	3536465
48	43747	3527492
49	44871	3544809
50	45769	3543963
51	46536	3533172
52	47202	3515231
53	48198	3522040
54	48900	3507522
55	49662	3497632
56	50523	3495015
57	51272	3484765
58	52289	3492782
59	53540	3515796
60	54447	3515856
61	55457	3522441
62	56140	3508341
63	56951	3502519
64	57799	3499086
65	58688	3498208
66	59518	3493813
67	60285	3485932
68	61126	3482436
69	61889	3474676
70	62626	3465601
71	63381	3457820
72	63942	3439764
73	64855	3440839
74	65614	3433828
75	66474	3432191
76	67146	3420997
77	68110	3424750
78	68938	3421624
79	69735	3417045
80	70560	3413911
81	71240	3403928
82	71842	3390429
83	72688	3388665
84	73587	3389351
85	74417	3386873
86	75062	3376083
87	75818	3370470
88	76627	3367294
89	77448	3364702
90	78447	3369806
91	79454	3375099
92	80251	3371417
93	81106	3370243
94	81739	3359924
95	82609	3359456
96	83346	3353637
97	84088	3348113
98	84949	3347360
99	85833	3347524
100	86585	3342560
101	87454	3342119
102	88114	3333819
103	89396	3348946
104	90169	3344846
105	91129	3347703
106	92002	3347355
107	92757	3342689
108	93421	3334894
109	93983	3323607
110	94881	3324269
111	95616	3319262
112	96525	3320296
113	97062	3308646
114	97744	3302052
115	98485	3297555
116	99359	3297534
117	99889	3286191
118	100515	3278168
119	101241	3273478
120	101945	3268158
121	102443	3256346
122	103082	3249185
123	103684	3240971
124	104315	3233781
125	104862	3224120
126	105504	3217474
127	106156	3211228
128	106797	3204749
129	107540	3201395
130	108047	3191100
131	108746	3186590
132	109469	3182834
133	110250	3180817
134	110945	3176339
135	111653	3172275
136	112186	3163333
137	112839	3157871
138	113622	3156088
139	114156	3147456
140	114709	3139470
141	115331	3133441
142	115989	3128482
143	116799	3127642
144	117357	3120097
145	118228	3120915
146	119050	3120430
147	119708	3115660
148	120471	3113654
149	121170	3110033
150	121785	3104323
151	122477	3100618
152	123019	3093184
153	123810	3092037
154	124389	3085669
155	124973	3079466
156	125485	3071589
157	126033	3064680
158	126733	3061529
159	127404	3057704
160	127878	3049237
161	128677	3048554
162	129296	3043629
163	129917	3038801
164	130468	3032401
165	131215	3030601
166	131692	3022615
167	132482	3021867
168	133078	3016712
169	133732	3012906
170	134479	3011248
171	135267	3010479
172	135766	3003338
173	136417	2999623
174	137034	2995190
175	137748	2992890
176	138263	2986332
177	138742	2979061
178	139479	2977375
179	140190	2975148
180	140836	2971562
181	141358	2965412
182	142048	2962829
183	142709	2959668
184	143312	2955345
185	143878	2950288
186	144713	2950768
187	145722	2954753
188	146412	2952260
189	147001	2947763
190	147585	2943208
191	148197	2939254
192	148813	2935405
193	149465	2932302
194	150014	2927207
195	150827	2927294
196	151442	2923537
197	152039	2919466
198	152588	2914523
199	153240	2911574
200	153928	2909321
201	154509	2905091
202	155240	2903694
203	155884	2900668
204	156541	2897923
205	157139	2894106
206	157975	2894697
207	158591	2891242
208	159250	2888609
209	159905	2885909
210	160706	2885855
211	161515	2885943
212	162161	2883124
213	162999	2883715
214	163714	2882135
215	164238	2877212
216	164889	2874540
217	165685	2874419
218	166324	2871566
219	166923	2868054
220	167635	2866493
221	168485	2867296
222	169158	2865080
223	169790	2862177
224	170521	2860966
225	171284	2860298
226	171928	2857651
227	172686	2856905
228	173412	2855627
229	174093	2853617
230	174780	2851727
231	175508	2850505
232	176319	2850623
233	177183	2851588
234	177877	2849828
235	178626	2848941
236	179320	2847192
237	179855	2842918
238	180491	2840281
239	181085	2837013
240	181994	2838666
241	182553	2834854
242	183171	2831999
243	183763	2828745
244	184404	2826286
245	184976	2822767
246	185587	2819883
247	186092	2815400
248	186751	2813271
249	187488	2812323
250	188144	2810177
251	188649	2805789
252	189319	2803880
253	190070	2803161
254	190723	2801014
255	191591	2802028
256	192232	2799719
257	192859	2797212
258	193507	2795023
259	194341	2795524
260	194935	2792576
261	195333	2786853
262	195892	2783454
263	196486	2780576
264	197091	2777876
265	197644	2774451
266	198096	2769641
267	198794	2768281
268	199459	2766483
269	199998	2762944
270	200536	2759414
271	201083	2756022
272	201623	2752560
273	202250	2750316
274	202853	2747737
275	203514	2745966
276	204304	2745934
277	205025	2744982
278	205622	2742363
279	206194	2739443
280	206824	2737292
281	207519	2736016
282	208056	2732675
283	208597	2729393
284	209281	2728001
285	210021	2727345
286	210479	2723033
287	211077	2720551
288	211685	2718222
289	212380	2717008
290	213089	2715981
291	213812	2715128
292	214475	2713519
293	215276	2713654
294	215856	2711006
295	216691	2711572
296	217617	2713252
297	218246	2711233
298	218921	2709797
299	219588	2708254
300	220483	2709535
301	220977	2705873
302	221781	2706027
303	222558	2705837
304	223289	2705098
305	223883	2702700
306	224505	2700645
307	225237	2699927
308	225872	2698043
309	226630	2697629
310	227152	2694418
311	227681	2691308
312	228429	2690800
313	228918	2687244
314	229529	2685133
315	230208	2683819
316	230889	2682546
317	231619	2681830
318	232167	2679020
319	232800	2677202
320	233331	2674220
321	233962	2672409
322	234639	2671109
323	235346	2670171
324	235995	2668564
325	236705	2667658
326	237368	2666216
327	237983	2664250
328	238529	2661522
329	239142	2659555
330	239541	2655217
331	240211	2653904
332	240832	2652050
333	241366	2649255
334	241980	2647341
335	242487	2644270
336	243014	2641435
337	243692	2640244
338	244329	2638614
339	244822	2635437
340	245378	2632964
341	246006	2631267
342	246508	2628224
343	247115	2626322
344	248160	2629059
345	248851	2628039
346	249372	2625238
347	250012	2623689
348	250663	2622272
349	251235	2620025
350	251680	2616477
351	252325	2615008
352	252931	2613150
353	253520	2611114
354	254021	2608195
355	254516	2605217
356	254888	2601009
357	255523	2599491
358	256010	2596475
359	256636	2594877
360	257078	2591440
361	257618	2588998
362	258265	2587636
363	258983	2586984
364	259645	2585783
365	260266	2584179
366	260894	2582642
367	261392	2579831
368	261876	2576888
369	262376	2574129
370	262836	2570983
371	263542	2570252
372	264263	2569661
373	264736	2566670
374	265281	2564391
375	265895	2562780
376	266527	2561351
377	267067	2559039
378	267664	2557287
379	268062	2553648
380	268627	2551605
381	269400	2551546
382	269863	2548553
383	270523	2547429
384	271070	2545244
385	271669	2543555
386	272283	2542011
387	272846	2540005
388	273426	2538154
389	274108	2537259
390	274822	2536660
391	275517	2535884
392	276258	2535535
393	276914	2534400
394	277467	2532327
395	278318	2532977
396	279053	2532565
397	280007	2534141
398	280542	2531916
399	281193	2530743
400	281937	2530409
401	282696	2530203
402	283573	2531052
403	284365	2531130
404	285248	2532019
405	285827	2530204
406	286370	2528079
407	287021	2526916
408	287530	2524499
409	288207	2523569
410	289044	2524043
411	289782	2523643
412	290490	2522974
413	291210	2522418
414	291701	2519882
